time,real,imag,mag,phase
2.903225719928741455e+00,-5.515802724219891388e+03,2.929537452572691109e+03,6.245499930232780571e+03,2.653362312867875161e+00
3.064516037702560425e+00,-6.189083144229232857e+03,1.209902965238666411e+03,6.306236227059348494e+03,2.948537509176124338e+00
3.225806355476379395e+00,-4.494952090227408917e+03,3.695645147020467448e+03,5.819139742791513527e+03,2.453474813531621557e+00
3.387096673250198364e+00,-3.998675962543250080e+02,5.318645276003891013e+03,5.333655563166104002e+03,1.645837379706762249e+00
3.548386991024017334e+00,2.618461695403637805e+03,4.497668604748066173e+03,5.204360145919236857e+03,1.043581336105270596e+00
3.709677308797836304e+00,2.556860780035558946e+03,4.441036644199850343e+03,5.124484708105773279e+03,1.048409757793791419e+00
3.870967626571655273e+00,5.608757590001099516e+02,5.449251667291833655e+03,5.478040283761773935e+03,1.468230387336464604e+00
4.032257944345474243e+00,2.268710789693127936e+03,4.702061942375120452e+03,5.220769594341672018e+03,1.121252356806057060e+00
4.193548262119293213e+00,3.075039237478742962e+03,4.286381494802845737e+03,5.275313510211703033e+03,9.484893853041067580e-01
4.354838579893112183e+00,1.837788351917789669e+03,4.990010580389169263e+03,5.317675396152021676e+03,1.217918271521927442e+00
4.516128897666931152e+00,-1.104294114856938222e+03,5.760618865866817941e+03,5.865508947217485002e+03,1.760195762372055883e+00
4.677419215440750122e+00,1.564808201061915497e+03,5.227411652052058344e+03,5.456597592467330287e+03,1.279939037601380392e+00
4.838709533214569092e+00,1.538741495976845954e+03,5.111232480909571677e+03,5.337829415159881137e+03,1.278375618827794380e+00
4.999999850988388062e+00,-1.729420135927333888e+02,5.496455473066409468e+03,5.499175547976914459e+03,1.602250229659950786e+00
5.161290168762207031e+00,-4.798334647303426209e+03,3.634330254503186552e+03,6.019333167910685916e+03,2.493362861319027513e+00
5.322580486536026001e+00,-5.657588234816263139e+03,2.752521375284199166e+03,6.291635602617798213e+03,2.688788290393739899e+00
5.483870804309844971e+00,-4.797770910808379085e+03,3.324559799456322253e+03,5.837062923488158958e+03,2.535621743206290635e+00
5.645161122083663940e+00,-5.213853379084447624e+03,3.064651793142079896e+03,6.047839091096858283e+03,2.610199342837394187e+00
5.806451439857482910e+00,-6.036470307179521114e+03,7.900478791073549019e+02,6.087951167736323441e+03,3.011453244059075551e+00
5.967741757631301880e+00,-5.970663671449755384e+03,-3.494277214040572289e+03,6.918005343025763977e+03,-2.612096045593697458e+00
6.129032075405120850e+00,-5.819317387417256214e+03,-2.366851267233735598e+03,6.282232069631201739e+03,-2.755303902630576118e+00
6.290322393178939819e+00,-5.905830357892400571e+03,-2.451354517193692118e+03,6.394370272760985245e+03,-2.748159671090643297e+00
6.451612710952758789e+00,-5.431558321575810623e+03,-3.429759581753992734e+03,6.423789892992513160e+03,-2.578368301953233299e+00
6.612903028726577759e+00,-2.996206632853610699e+03,-6.173640139173495299e+03,6.862294569221733582e+03,-2.022633162421480613e+00
6.774193346500396729e+00,-3.725456961798376597e+03,-5.448500459274983768e+03,6.600392929889227162e+03,-2.170538393173282010e+00
6.935483664274215698e+00,-5.661317277340508554e+03,-2.390769385862546642e+03,6.145428509965087869e+03,-2.742011885954522388e+00
7.096773982048034668e+00,-6.225843444501731938e+03,1.023674098531828349e+03,6.309440169733772564e+03,2.978627443677455133e+00
7.258064299821853638e+00,-5.371515163730806307e+03,2.995197987931511761e+03,6.150153342893082481e+03,2.632927399720630834e+00
7.419354617595672607e+00,-5.350973978437428741e+03,3.276129300269419218e+03,6.274228694429162715e+03,2.592215071960964679e+00
7.580644935369491577e+00,-1.839047480976475981e+03,5.014893574079567770e+03,5.341465454033233982e+03,1.922285620902450365e+00
7.741935253143310547e+00,1.092155112326884364e+03,5.073819048000549628e+03,5.190032998087291162e+03,1.358778293372166157e+00
7.903225570917129517e+00,2.704548927059603557e+03,4.284420360714932940e+03,5.066640181241206847e+03,1.007713817694444014e+00
8.064515888690948486e+00,-1.608388214768604030e+02,5.388145168656212263e+03,5.390545193670798653e+03,1.600637964322260132e+00
8.225806206464767456e+00,1.230533803055612907e+01,5.331645105423333916e+03,5.331659305650412534e+03,1.568488349437431539e+00
8.387096524238586426e+00,1.123853442961728888e+03,5.179316010940991873e+03,5.299845365899522221e+03,1.357120038815536889e+00
8.548386842012405396e+00,-2.259198781232749980e+02,5.382310766299982788e+03,5.387050118233534704e+03,1.612746215660495475e+00
8.709677159786224365e+00,-3.663397095791879110e+03,4.270112221790214790e+03,5.626218682928929411e+03,2.279868055215681810e+00
8.870967477560043335e+00,-6.087981741858920941e+03,8.185772235133962340e+02,6.142767321009520856e+03,3.007936363618715525e+00
9.032257795333862305e+00,-5.592953317787804735e+03,1.041601675157357704e+03,5.689117758022260205e+03,2.957467363976908015e+00
9.193548113107681274e+00,-5.697314800120731888e+03,8.713940734663013927e+02,5.763568648237559501e+03,2.989820630134802926e+00
9.354838430881500244e+00,-5.572438452789000621e+03,-1.254696719535293823e+03,5.711946618109634983e+03,-2.920124819827381035e+00
9.516128748655319214e+00,-3.517652667810573803e+03,-5.546013697745059289e+03,6.567507002427228144e+03,-2.136031711988690684e+00
9.677419066429138184e+00,-3.984100783589476578e+03,-4.381948401931011176e+03,5.922375439887615357e+03,-2.308675272016115887e+00
9.838709384202957153e+00,-4.693521131998193596e+03,-3.363929746891668401e+03,5.774527163200139512e+03,-2.519734639561012735e+00
9.999999701976776123e+00,-4.690818436986705819e+03,-3.542399582912172718e+03,5.878126607499258171e+03,-2.494786301338833390e+00
1.016129001975059509e+01,-3.063819025702138788e+03,-5.374112365729177327e+03,6.186119198798036450e+03,-2.088945604933032829e+00
1.032258033752441406e+01,-3.248098228731178096e+03,-5.381156881157069620e+03,6.285458732909690298e+03,-2.113863032090907534e+00
1.048387065529823303e+01,-4.412407297005571309e+03,-3.770435579127360143e+03,5.803923036276194580e+03,-2.434487507977644682e+00
1.064516097307205200e+01,-5.255287079801784785e+03,-2.723420015885842076e+03,5.919042057128772285e+03,-2.663471743938638614e+00
1.080645129084587097e+01,-5.647165766957423330e+03,-1.519741611941858082e+03,5.848084794748060631e+03,-2.878705110881738971e+00
1.096774160861968994e+01,-6.162987712712353641e+03,-2.013161534566045702e+03,6.483458715168914750e+03,-2.825865943899096955e+00
1.112903192639350891e+01,-4.673448492320281730e+03,3.216387116778592372e+03,5.673294183748099385e+03,2.538812726685130361e+00
