time,phase_detrended
1.466999967209994793e+01,6.876180922834445042e-01
1.467499967198818922e+01,6.968306988835175630e-01
1.467999967187643051e+01,7.044035626528786231e-01
1.468499967176467180e+01,7.036037225000777440e-01
1.468999967165291309e+01,7.123735988623125515e-01
1.469499967154115438e+01,7.067372214744427339e-01
1.469999967142939568e+01,7.102667506926207963e-01
1.470499967131763697e+01,7.011979119968461127e-01
1.470999967120587826e+01,6.996778561450303080e-01
1.471499967109411955e+01,6.949066369306207136e-01
1.471999967098236084e+01,6.860018408851482619e-01
1.472499967087060213e+01,6.683724161512389905e-01
1.472999967075884342e+01,6.586654472159665374e-01
1.473499967064708471e+01,6.450846884808396631e-01
1.473999967053532600e+01,6.278299359300318905e-01
1.474499967042356730e+01,6.156511520764915701e-01
1.474999967031180859e+01,5.982450159835988046e-01
1.475499967020004988e+01,5.838872159565635656e-01
1.475999967008829117e+01,5.665531292220080672e-01
1.476499966997653246e+01,5.522718139463980158e-01
1.476999966986477375e+01,5.450922806947469113e-01
1.477499966975301504e+01,5.321849890963168406e-01
1.477999966964125633e+01,5.158602581544085020e-01
1.478499966952949762e+01,5.100147338218308235e-01
1.478999966941773891e+01,5.036846523734150871e-01
1.479499966930598021e+01,5.023695391570965896e-01
1.479999966919422150e+01,4.941813737706515219e-01
1.480499966908246279e+01,4.934326739347976165e-01
1.480999966897070408e+01,4.827114396450173928e-01
1.481499966885894537e+01,4.787319411980019979e-01
1.481999966874718666e+01,4.740186947616988888e-01
1.482499966863542795e+01,4.610385298926820141e-01
1.482999966852366924e+01,4.460608169953035329e-01
1.483499966841191053e+01,4.394158582763298959e-01
1.483999966830015182e+01,4.241943240394143722e-01
1.484499966818839312e+01,4.100848533553413944e-01
1.484999966807663441e+01,3.812663566167739937e-01
1.485499966796487570e+01,3.441741526760901948e-01
1.485999966785311699e+01,3.073338336721609387e-01
1.486499966774135828e+01,2.743169244214764824e-01
1.486999966762959957e+01,2.623973026648513951e-01
1.487499966751784086e+01,2.539908740925485020e-01
1.487999966740608215e+01,2.730075967927940717e-01
1.488499966729432344e+01,3.127931851689917941e-01
1.488999966718256474e+01,3.652811361042265226e-01
1.489499966707080603e+01,4.115023205998853406e-01
1.489999966695904732e+01,4.048737171244702893e-01
1.490499966684728861e+01,3.670321600380370697e-01
1.490999966673552990e+01,3.011255479776790978e-01
1.491499966662377119e+01,1.922490652091064511e-01
1.491999966651201248e+01,8.335822561882810788e-02
1.492499966640025377e+01,8.368644470905461930e-03
1.492999966628849506e+01,-4.983938239594820629e-02
1.493499966617673635e+01,-1.268429192927382765e-01
1.493999966606497765e+01,-2.031189046366765893e-01
1.494499966595321894e+01,-2.586516340733115982e-01
1.494999966584146023e+01,-2.810222891164588788e-01
1.495499966572970152e+01,-2.814445202730313511e-01
1.495999966561794281e+01,-2.782789430594068136e-01
1.496499966550618410e+01,-2.798211107373660411e-01
1.496999966539442539e+01,-2.740156180913779771e-01
1.497499966528266668e+01,-2.577685443851320812e-01
1.497999966517090797e+01,-2.379859230430301231e-01
1.498499966505914927e+01,-2.189132351780851415e-01
1.498999966494739056e+01,-2.030674497571758330e-01
1.499499966483563185e+01,-1.753430729960268053e-01
1.499999966472387314e+01,-1.381987832847197950e-01
1.500499966461211443e+01,-9.833916088295957536e-02
1.500999966450035572e+01,-6.172256116734065046e-02
1.501499966438859701e+01,-2.902860499702253350e-02
1.501999966427683830e+01,2.661196325953962827e-03
1.502499966416507959e+01,2.601863876021459632e-02
1.502999966405332088e+01,4.101284354148582167e-02
1.503499966394156218e+01,5.294946782155074416e-02
1.503999966382980347e+01,6.379837236631891173e-02
1.504499966371804476e+01,6.076332475312407055e-02
1.504999966360628605e+01,6.149967881829843108e-02
1.505499966349452734e+01,5.777061298288765911e-02
1.505999966338276863e+01,6.184725473038366061e-02
1.506499966327100992e+01,6.200073794174576491e-02
1.506999966315925121e+01,6.847518586034784249e-02
1.507499966304749250e+01,7.294727802697664742e-02
1.507999966293573380e+01,8.633423196219824902e-02
1.508499966282397509e+01,9.799503029269596155e-02
1.508999966271221638e+01,1.101702779704707424e-01
1.509499966260045767e+01,1.178993841454651914e-01
1.509999966248869896e+01,1.193725568116854596e-01
1.510499966237694025e+01,1.163390147611065295e-01
1.510999966226518154e+01,1.067645664730347832e-01
1.511499966215342283e+01,9.112054693497073643e-02
1.511999966204166412e+01,7.275317696437877402e-02
1.512499966192990541e+01,5.154069960501006520e-02
