time,phase_filtered
6.059999864548444748e+00,2.840380681413679498e-01
6.064999864436686039e+00,2.674155622499282958e-01
6.069999864324927330e+00,2.502987380843792464e-01
6.074999864213168621e+00,2.327746016739060952e-01
6.079999864101409912e+00,2.149296667379307912e-01
6.084999863989651203e+00,1.968494346165277353e-01
6.089999863877892494e+00,1.786178906942570976e-01
6.094999863766133785e+00,1.603170203742792788e-01
6.099999863654375076e+00,1.420263475559492283e-01
6.104999863542616367e+00,1.238224984431530867e-01
6.109999863430857658e+00,1.057787933632380883e-01
6.114999863319098949e+00,8.796486910676851179e-02
6.119999863207340240e+00,7.044633410442747989e-02
6.124999863095581532e+00,5.328445853667049953e-02
6.129999862983822823e+00,3.653590122262704437e-02
6.134999862872064114e+00,2.025247485802156994e-02
6.139999862760305405e+00,4.480950870473509283e-03
6.144999862648546696e+00,-1.073709516264263579e-02
6.149999862536787987e+00,-2.536539693175458854e-02
6.154999862425029278e+00,-3.937306940697375690e-02
6.159999862313270569e+00,-5.273463957762334481e-02
6.164999862201511860e+00,-6.543003643462251551e-02
6.169999862089753151e+00,-7.744454109305393130e-02
6.174999861977994442e+00,-8.876869832572699404e-02
6.179999861866235733e+00,-9.939819113349930568e-02
6.184999861754477024e+00,-1.093336803056048356e-01
6.189999861642718315e+00,-1.185806112166694209e-01
6.194999861530959606e+00,-1.271489903619667794e-01
6.199999861419200897e+00,-1.350531343454381417e-01
6.204999861307442188e+00,-1.423113942031279389e-01
6.209999861195683479e+00,-1.489458580651754072e-01
6.214999861083924770e+00,-1.549820352303043769e-01
6.219999860972166061e+00,-1.604485247476472864e-01
6.224999860860407352e+00,-1.653766715733518133e-01
6.229999860748648643e+00,-1.698002132961802246e-01
6.234999860636889935e+00,-1.737549203100423600e-01
6.239999860525131226e+00,-1.772782321563464436e-01
6.244999860413372517e+00,-1.804088925713950020e-01
6.249999860301613808e+00,-1.831865855605576410e-01
6.254999860189855099e+00,-1.856515745877995727e-01
6.259999860078096390e+00,-1.878443467233526232e-01
6.264999859966337681e+00,-1.898052633439707704e-01
6.269999859854578972e+00,-1.915742187420680087e-01
6.274999859742820263e+00,-1.931903077842929972e-01
6.279999859631061554e+00,-1.946915035752075918e-01
6.284999859519302845e+00,-1.961143459319844018e-01
6.289999859407544136e+00,-1.974936413637617127e-01
6.294999859295785427e+00,-1.988621751767589985e-01
6.299999859184026718e+00,-2.002504362954108663e-01
6.304999859072268009e+00,-2.016863554015212723e-01
6.309999858960509300e+00,-2.031950570474278239e-01
6.314999858848750591e+00,-2.047986264930713729e-01
6.319999858736991882e+00,-2.065158921455020336e-01
6.324999858625233173e+00,-2.083622246349796370e-01
6.329999858513474464e+00,-2.103493537351786014e-01
6.334999858401715755e+00,-2.124852045161482184e-01
6.339999858289957047e+00,-2.147737542976975722e-01
6.344999858178198338e+00,-2.172149121381430348e-01
6.349999858066439629e+00,-2.198044227395814787e-01
6.354999857954680920e+00,-2.225337967676818407e-01
6.359999857842922211e+00,-2.253902696644146109e-01
6.364999857731163502e+00,-2.283567910699740577e-01
6.369999857619404793e+00,-2.314120469595389307e-01
6.374999857507646084e+00,-2.345305165360310751e-01
6.379999857395887375e+00,-2.376825657968148486e-01
6.384999857284128666e+00,-2.408345795066336170e-01
6.389999857172369957e+00,-2.439491330592411800e-01
6.394999857060611248e+00,-2.469852053965372329e-01
6.399999856948852539e+00,-2.498984337803129563e-01
6.404999856837093830e+00,-2.526414107881635451e-01
6.409999856725335121e+00,-2.551640234490308301e-01
6.414999856613576412e+00,-2.574138339638740169e-01
6.419999856501817703e+00,-2.593365009834163737e-01
6.424999856390058994e+00,-2.608762399324624504e-01
6.429999856278300285e+00,-2.619763203589544065e-01
6.434999856166541576e+00,-2.625795977184880448e-01
6.439999856054782867e+00,-2.626290763532374006e-01
6.444999855943024158e+00,-2.620684996637175912e-01
6.449999855831265450e+00,-2.608429625930513973e-01
6.454999855719506741e+00,-2.588995405685421414e-01
6.459999855607748032e+00,-2.561879280353503430e-01
6.464999855495989323e+00,-2.526610787608005171e-01
6.469999855384230614e+00,-2.482758392807007386e-01
6.474999855272471905e+00,-2.429935662795969786e-01
6.479999855160713196e+00,-2.367807183881342481e-01
6.484999855048954487e+00,-2.296094128487983221e-01
6.489999854937195778e+00,-2.214579377340125110e-01
6.494999854825437069e+00,-2.123112108839403100e-01
6.499999854713678360e+00,-2.021611774465897349e-01
6.504999854601919651e+00,-1.910071388158092187e-01
6.509999854490160942e+00,-1.788560068278388371e-01
6.514999854378402233e+00,-1.657224782517425776e-01
6.519999854266643524e+00,-1.516291258617563920e-01
6.524999854154884815e+00,-1.366064036860903386e-01
6.529999854043126106e+00,-1.206925653642141882e-01
6.534999853931367397e+00,-1.039334958900432621e-01
6.539999853819608688e+00,-8.638245834899090092e-02
6.544999853707849979e+00,-6.809975854923971950e-02
6.549999853596091270e+00,-4.915233167504680367e-02
6.554999853484332561e+00,-2.961325622158768323e-02
6.559999853372573853e+00,-9.561201475657133547e-03
6.564999853260815144e+00,1.092018434159692380e-02
6.569999853149056435e+00,3.174293747229066376e-02
6.574999853037297726e+00,5.281548525749074630e-02
6.579999852925539017e+00,7.404338737411403359e-02
6.584999852813780308e+00,9.533010285302916109e-02
6.589999852702021599e+00,1.165777740019239006e-01
6.594999852590262890e+00,1.376880184043301480e-01
6.599999852478504181e+00,1.585627203028465715e-01
6.604999852366745472e+00,1.791048128909515924e-01
6.609999852254986763e+00,1.992190433280188189e-01
6.614999852143228054e+00,2.188127126521465238e-01
6.619999852031469345e+00,2.377963831933576355e-01
6.624999851919710636e+00,2.560845465865951853e-01
6.629999851807951927e+00,2.735962460521946804e-01
6.634999851696193218e+00,2.902556472520275155e-01
6.639999851584434509e+00,3.059925527393839162e-01
6.644999851472675800e+00,3.207428557932574531e-01
6.649999851360917091e+00,3.344489302529115582e-01
6.654999851249158382e+00,3.470599538321410549e-01
6.659999851137399673e+00,3.585321632760216093e-01
6.664999851025640965e+00,3.688290406058470916e-01
6.669999850913882256e+00,3.779214305611601765e-01
6.674999850802123547e+00,3.857875901744873826e-01
6.679999850690364838e+00,3.924131721901084613e-01
6.684999850578606129e+00,3.977911447510459331e-01
6.689999850466847420e+00,4.019216504209813245e-01
6.694999850355088711e+00,4.048118081780285871e-01
6.699999850243330002e+00,4.064754625165359903e-01
