time,phase_raw,phase_detrended
9.519999787211418152e+00,4.214932058278114013e+00,1.895115572698181872e+00
9.524999787099659443e+00,4.222369407968879607e+00,1.903006238172994635e+00
9.529999786987900734e+00,4.226762530021330733e+00,1.907852676009492932e+00
9.534999786876142025e+00,4.222927458478934248e+00,1.904470920251143617e+00
9.539999786764383316e+00,4.205768390504092125e+00,1.887765168060348664e+00
9.544999786652624607e+00,4.178046702651814215e+00,1.860496795992117924e+00
9.549999786540865898e+00,4.178156838635855408e+00,1.861060247760206288e+00
9.554999786429107189e+00,4.185708425735782612e+00,1.869065150644179774e+00
9.559999786317348480e+00,4.187409994825024739e+00,1.871220035517469071e+00
9.564999786205589771e+00,4.184416180385110096e+00,1.868679536861601598e+00
9.569999786093831062e+00,4.180576836118307327e+00,1.865293508378845999e+00
9.574999785982072353e+00,4.181609288185750728e+00,1.866779276230336571e+00
9.579999785870313644e+00,4.185498453741337777e+00,1.871121757569970789e+00
9.584999785758554935e+00,4.184541060591701722e+00,1.870617680204381905e+00
9.589999785646796227e+00,4.183048791503458652e+00,1.869578726900186005e+00
9.594999785535037518e+00,4.175015409363762586e+00,1.861998660544536222e+00
9.599999785423278809e+00,4.160136028198631486e+00,1.847572595163452291e+00
9.604999785311520100e+00,4.152632619997755903e+00,1.840522502746623879e+00
9.609999785199761391e+00,4.153229948054814713e+00,1.841573146587729859e+00
9.614999785088002682e+00,4.147372762699523818e+00,1.836169277016486134e+00
9.619999784976243973e+00,4.151607236803565470e+00,1.840857066904574957e+00
9.624999784864485264e+00,4.147205873528818643e+00,1.836909019413874411e+00
9.629999784752726555e+00,4.137841224319063649e+00,1.827997685988166587e+00
9.634999784640967846e+00,4.126165225709763185e+00,1.816775003162913293e+00
9.639999784529209137e+00,4.114169677368368028e+00,1.805232770605565307e+00
9.644999784417450428e+00,4.094182742508897022e+00,1.785699151530141471e+00
9.649999784305691719e+00,4.080227438225285219e+00,1.772197163030576839e+00
9.654999784193933010e+00,4.058283230300219202e+00,1.750706270889557992e+00
