real,imag,mag,phase,unwrapped_phase
-6.402546281919796456e+03,-3.152684158994404697e+03,7.136667030098802570e+03,-2.684034662484048095e+00,3.599150644695537249e+00
-6.351104699933126540e+03,-3.412847743357955551e+03,7.209997269684375169e+03,-2.648503408238028101e+00,3.634681898941557243e+00
-6.236901810319834112e+03,-3.590638008166615236e+03,7.196639875473938446e+03,-2.619226005302392579e+00,3.663959301877192765e+00
-6.162562558931480453e+03,-3.735568793476071733e+03,7.206361877087243556e+03,-2.596647756640871219e+00,3.686537550538714125e+00
-6.150659810783110515e+03,-3.855939378164053778e+03,7.259399740753963670e+03,-2.581617621726796763e+00,3.701567685452788581e+00
-6.063249569373772829e+03,-3.987456410329104983e+03,7.256914217819163241e+03,-2.559862929008800414e+00,3.723322378170784930e+00
-6.088650318331749077e+03,-4.115724554501262901e+03,7.349207529213332236e+03,-2.547179205988686856e+00,3.736006101190898487e+00
-6.023554660733062519e+03,-4.242624487515785404e+03,7.367704750660655009e+03,-2.527960538551489833e+00,3.755224768628095511e+00
-5.967339312110570972e+03,-4.352248647172858909e+03,7.385878874763533531e+03,-2.511442372849986171e+00,3.771742934329599173e+00
-5.911883934774538830e+03,-4.529469523843046773e+03,7.447581206382930759e+03,-2.487826923503000831e+00,3.795358383676584513e+00
-5.804426547260321058e+03,-4.717661059340323845e+03,7.479819076244854841e+03,-2.459113765596366630e+00,3.824071541583218714e+00
-5.691339997221078193e+03,-4.880717664238620273e+03,7.497516647662699143e+03,-2.432720681804114715e+00,3.850464625375470629e+00
-5.555820757483743364e+03,-5.056323575960414018e+03,7.512226859866543236e+03,-2.403228226907978993e+00,3.879957080271606351e+00
-5.429152025902413698e+03,-5.231902281572496577e+03,7.539793976249203297e+03,-2.374694277899674688e+00,3.908491029279910656e+00
-5.242119208658588832e+03,-5.382363884757755841e+03,7.513298528990576415e+03,-2.342995115678529139e+00,3.940190191501056205e+00
-5.161568104074867733e+03,-5.550135426403739984e+03,7.579300003590360575e+03,-2.319935362968054804e+00,3.963249944211530540e+00
-5.013980962881050800e+03,-5.630676646205003635e+03,7.539530793773045843e+03,-2.298324418133118829e+00,3.984860889046466514e+00
-4.960226864339874737e+03,-5.683553617149934325e+03,7.543648471710296690e+03,-2.288341124686193773e+00,3.994844182493391571e+00
-4.890969103786706910e+03,-5.754955507440021393e+03,7.552555307100396931e+03,-2.275215425681770487e+00,4.007969881497814413e+00
-4.873911924900456142e+03,-5.756722888940699704e+03,7.542869206856276833e+03,-2.273340553914418471e+00,4.009844753265166872e+00
-4.883942425836483380e+03,-5.726571053481613490e+03,7.526387556421677800e+03,-2.276946307659587720e+00,4.006238999519997179e+00
-4.910987336511924696e+03,-5.723926666838230631e+03,7.541958174554027210e+03,-2.279902243911458015e+00,4.003283063268127329e+00
-4.940956546583027375e+03,-5.694164064364419573e+03,7.539002320408238120e+03,-2.285489888274062853e+00,3.997695418905522491e+00
-4.920533496954720249e+03,-5.650724709642329799e+03,7.492819204999933390e+03,-2.287230774029645808e+00,3.995954533149939536e+00
-4.934254722013693026e+03,-5.673495390423403478e+03,7.519003897250620867e+03,-2.286618244202637040e+00,3.996567062976948304e+00
-4.947470686545504577e+03,-5.638051647306312589e+03,7.501006103978351348e+03,-2.291048555746331150e+00,3.992136751433254194e+00
-4.989389448876703682e+03,-5.603099223036035255e+03,7.502581420801056083e+03,-2.298320985169536090e+00,3.984864322010049253e+00
-5.116834969703248134e+03,-5.445787243221337121e+03,7.472522921049509932e+03,-2.325061502605777264e+00,3.958123804573808080e+00
-5.232184957741801554e+03,-5.289959261009043985e+03,7.440391684256611370e+03,-2.350703810585586417e+00,3.932481496593998926e+00
-5.287257194552856163e+03,-5.287427536793782565e+03,7.477431283415187863e+03,-2.356178381698783131e+00,3.927006925480802213e+00
-5.252668633358186526e+03,-5.317129721973087726e+03,7.474115081543402994e+03,-2.350095954790113240e+00,3.933089352389472104e+00
-5.249295123520165362e+03,-5.290189690482020524e+03,7.452597282497883498e+03,-2.352314380067675348e+00,3.930870927111909996e+00
-5.286973262056933891e+03,-5.269997559548480240e+03,7.464915307714608389e+03,-2.357802497656230400e+00,3.925382809523354943e+00
-5.309799259941521996e+03,-5.218867950787776863e+03,7.445169633301537033e+03,-2.364830820563724068e+00,3.918354486615861276e+00
-5.286387702817059107e+03,-5.231620652771436653e+03,7.437455855263953708e+03,-2.361401422269457928e+00,3.921783884910127416e+00
-5.284402379572418795e+03,-5.250601353284258948e+03,7.449410921699857681e+03,-2.359402928571840530e+00,3.923782378607744814e+00
-5.262716605693685779e+03,-5.206629494281547522e+03,7.403051854645257663e+03,-2.361551708715139419e+00,3.921633598464445924e+00
-5.323020667218374001e+03,-5.133551678705362065e+03,7.395126899626035083e+03,-2.374312115244977317e+00,3.908873191934608027e+00
-5.401407152671119547e+03,-5.057147754868601623e+03,7.399320417680212813e+03,-2.389099145451541784e+00,3.894086161728043560e+00
-5.456304934290286837e+03,-4.935546541840654754e+03,7.357369312644009369e+03,-2.406264791367871414e+00,3.876920515811713930e+00
-5.547324765812813894e+03,-4.839913337903444699e+03,7.361900106345905442e+03,-2.424193390675422055e+00,3.858991916504163289e+00
-5.593830263365536666e+03,-4.746970512173106727e+03,7.336529565045393610e+03,-2.437907126882329578e+00,3.845278180297255766e+00
